scene_id,clip_id,start_time_movie,end_time_movie,start_sec,end_sec,duration_sec
1,1.1,00:00:00.042,00:00:03.042,0.042,3.042,3
2,2.1,00:00:05.042,00:00:08.042,5.042,8.042,3
2,2.2,00:00:08.042,00:00:11.042,8.042,11.042,3
2,2.3,00:00:11.042,00:00:14.042,11.042,14.042,3
2,2.4,00:00:14.042,00:00:17.042,14.042,17.042,3
2,2.5,00:00:17.042,00:00:20.042,17.042,20.042,3
2,2.6,00:00:20.042,00:00:23.042,20.042,23.042,3
2,2.7,00:00:23.042,00:00:26.042,23.042,26.042,3
2,2.8,00:00:26.042,00:00:29.042,26.042,29.042,3
2,2.9,00:00:29.042,00:00:32.042,29.042,32.042,3
3,3.1,00:00:33.208,00:00:36.208,33.208,36.208,3
4,4.1,00:00:38.042,00:00:41.042,38.042,41.042,3
4,4.2,00:00:41.042,00:00:44.042,41.042,44.042,3
4,4.3,00:00:44.042,00:00:47.042,44.042,47.042,3
4,4.4,00:00:47.042,00:00:50.042,47.042,50.042,3
4,4.5,00:00:50.042,00:00:53.042,50.042,53.042,3
4,4.6,00:00:53.042,00:00:56.042,53.042,56.042,3
4,4.7,00:00:56.042,00:00:59.042,56.042,59.042,3
4,4.8,00:00:59.042,00:01:02.042,59.042,62.042,3
4,4.9,00:01:02.042,00:01:05.042,62.042,65.042,3
4,4.10,00:01:05.042,00:01:08.042,65.042,68.042,3
4,4.11,00:01:08.042,00:01:11.042,68.042,71.042,3
4,4.12,00:01:11.042,00:01:14.042,71.042,74.042,3
4,4.13,00:01:14.042,00:01:17.042,74.042,77.042,3
4,4.14,00:01:17.042,00:01:20.042,77.042,80.042,3
4,4.15,00:01:20.042,00:01:23.042,80.042,83.042,3
4,4.16,00:01:23.042,00:01:26.042,83.042,86.042,3
4,4.17,00:01:26.042,00:01:29.042,86.042,89.042,3
5,5.1,00:01:30.042,00:01:33.042,90.042,93.042,3
5,5.2,00:01:33.042,00:01:36.042,93.042,96.042,3
5,5.3,00:01:36.042,00:01:39.042,96.042,99.042,3
7,7.1,00:01:42.708,00:01:45.708,102.708,105.708,3
7,7.2,00:01:45.708,00:01:48.708,105.708,108.708,3
8,8.1,00:01:49.875,00:01:52.875,109.875,112.875,3
8,8.2,00:01:52.875,00:01:55.875,112.875,115.875,3
12,12.1,00:02:00.875,00:02:03.875,120.875,123.875,3
12,12.2,00:02:03.875,00:02:06.875,123.875,126.875,3
12,12.3,00:02:06.875,00:02:09.875,126.875,129.875,3
12,12.4,00:02:09.875,00:02:12.875,129.875,132.875,3
12,12.5,00:02:12.875,00:02:15.875,132.875,135.875,3
12,12.6,00:02:15.875,00:02:18.875,135.875,138.875,3
12,12.7,00:02:18.875,00:02:21.875,138.875,141.875,3
12,12.8,00:02:21.875,00:02:24.875,141.875,144.875,3
12,12.9,00:02:24.875,00:02:27.875,144.875,147.875,3
12,12.10,00:02:27.875,00:02:30.875,147.875,150.875,3
12,12.11,00:02:30.875,00:02:33.875,150.875,153.875,3
12,12.12,00:02:33.875,00:02:36.875,153.875,156.875,3
12,12.13,00:02:36.875,00:02:39.875,156.875,159.875,3
12,12.14,00:02:39.875,00:02:42.875,159.875,162.875,3
12,12.15,00:02:42.875,00:02:45.875,162.875,165.875,3
12,12.16,00:02:45.875,00:02:48.875,165.875,168.875,3
12,12.17,00:02:48.875,00:02:51.875,168.875,171.875,3
12,12.18,00:02:51.875,00:02:54.875,171.875,174.875,3
12,12.19,00:02:54.875,00:02:57.875,174.875,177.875,3
12,12.20,00:02:57.875,00:03:00.875,177.875,180.875,3
12,12.21,00:03:00.875,00:03:03.875,180.875,183.875,3
12,12.22,00:03:03.875,00:03:06.875,183.875,186.875,3
14,14.1,00:03:09.208,00:03:12.208,189.208,192.208,3
14,14.2,00:03:12.208,00:03:15.208,192.208,195.208,3
14,14.3,00:03:15.208,00:03:18.208,195.208,198.208,3
15,15.1,00:03:18.375,00:03:21.375,198.375,201.375,3
16,16.1,00:03:22.042,00:03:25.042,202.042,205.042,3
18,18.1,00:03:27.875,00:03:30.875,207.875,210.875,3
19,19.1,00:03:31.375,00:03:34.375,211.375,214.375,3
22,22.1,00:03:39.375,00:03:42.375,219.375,222.375,3
