scene_id,clip_id,start_time_movie,end_time_movie,start_sec,end_sec,duration_sec
1,1.1,00:00:00.042,00:00:03.042,0.042,3.042,3
2,2.1,00:00:05.042,00:00:08.042,5.042,8.042,3
2,2.2,00:00:08.042,00:00:11.042,8.042,11.042,3
2,2.3,00:00:11.042,00:00:14.042,11.042,14.042,3
2,2.4,00:00:14.042,00:00:17.042,14.042,17.042,3
2,2.5,00:00:17.042,00:00:20.042,17.042,20.042,3
2,2.6,00:00:20.042,00:00:23.042,20.042,23.042,3
3,3.1,00:00:25.875,00:00:28.875,25.875,28.875,3
3,3.2,00:00:28.875,00:00:31.875,28.875,31.875,3
3,3.3,00:00:31.875,00:00:34.875,31.875,34.875,3
3,3.4,00:00:34.875,00:00:37.875,34.875,37.875,3
3,3.5,00:00:37.875,00:00:40.875,37.875,40.875,3
4,4.1,00:00:42.208,00:00:45.208,42.208,45.208,3
5,5.1,00:00:46.875,00:00:49.875,46.875,49.875,3
6,6.1,00:00:51.875,00:00:54.875,51.875,54.875,3
6,6.2,00:00:54.875,00:00:57.875,54.875,57.875,3
7,7.1,00:00:57.875,00:01:00.875,57.875,60.875,3
7,7.2,00:01:00.875,00:01:03.875,60.875,63.875,3
8,8.1,00:01:06.375,00:01:09.375,66.375,69.375,3
8,8.2,00:01:09.375,00:01:12.375,69.375,72.375,3
8,8.3,00:01:12.375,00:01:15.375,72.375,75.375,3
8,8.4,00:01:15.375,00:01:18.375,75.375,78.375,3
9,9.1,00:01:20.875,00:01:23.875,80.875,83.875,3
9,9.2,00:01:23.875,00:01:26.875,83.875,86.875,3
10,10.1,00:01:28.708,00:01:31.708,88.708,91.708,3
10,10.2,00:01:31.708,00:01:34.708,91.708,94.708,3
12,12.1,00:01:38.208,00:01:41.208,98.208,101.208,3
12,12.2,00:01:41.208,00:01:44.208,101.208,104.208,3
12,12.3,00:01:44.208,00:01:47.208,104.208,107.208,3
12,12.4,00:01:47.208,00:01:50.208,107.208,110.208,3
12,12.5,00:01:50.208,00:01:53.208,110.208,113.208,3
12,12.6,00:01:53.208,00:01:56.208,113.208,116.208,3
12,12.7,00:01:56.208,00:01:59.208,116.208,119.208,3
12,12.8,00:01:59.208,00:02:02.208,119.208,122.208,3
12,12.9,00:02:02.208,00:02:05.208,122.208,125.208,3
12,12.10,00:02:05.208,00:02:08.208,125.208,128.208,3
12,12.11,00:02:08.208,00:02:11.208,128.208,131.208,3
12,12.12,00:02:11.208,00:02:14.208,131.208,134.208,3
12,12.13,00:02:14.208,00:02:17.208,134.208,137.208,3
12,12.14,00:02:17.208,00:02:20.208,137.208,140.208,3
12,12.15,00:02:20.208,00:02:23.208,140.208,143.208,3
12,12.16,00:02:23.208,00:02:26.208,143.208,146.208,3
12,12.17,00:02:26.208,00:02:29.208,146.208,149.208,3
12,12.18,00:02:29.208,00:02:32.208,149.208,152.208,3
12,12.19,00:02:32.208,00:02:35.208,152.208,155.208,3
12,12.20,00:02:35.208,00:02:38.208,155.208,158.208,3
12,12.21,00:02:38.208,00:02:41.208,158.208,161.208,3
12,12.22,00:02:41.208,00:02:44.208,161.208,164.208,3
12,12.23,00:02:44.208,00:02:47.208,164.208,167.208,3
12,12.24,00:02:47.208,00:02:50.208,167.208,170.208,3
12,12.25,00:02:50.208,00:02:53.208,170.208,173.208,3
12,12.26,00:02:53.208,00:02:56.208,173.208,176.208,3
12,12.27,00:02:56.208,00:02:59.208,176.208,179.208,3
12,12.28,00:02:59.208,00:03:02.208,179.208,182.208,3
12,12.29,00:03:02.208,00:03:05.208,182.208,185.208,3
12,12.30,00:03:05.208,00:03:08.208,185.208,188.208,3
12,12.31,00:03:08.208,00:03:11.208,188.208,191.208,3
12,12.32,00:03:11.208,00:03:14.208,191.208,194.208,3
12,12.33,00:03:14.208,00:03:17.208,194.208,197.208,3
12,12.34,00:03:17.208,00:03:20.208,197.208,200.208,3
12,12.35,00:03:20.208,00:03:23.208,200.208,203.208,3
13,13.1,00:03:25.542,00:03:28.542,205.542,208.542,3
13,13.2,00:03:28.542,00:03:31.542,208.542,211.542,3
15,15.1,00:03:32.708,00:03:35.708,212.708,215.708,3
17,17.1,00:03:38.208,00:03:41.208,218.208,221.208,3
