scene_id,clip_id,start_time_movie,end_time_movie,start_sec,end_sec,duration_sec
1,1.1,00:00:00.042,00:00:03.042,0.042,3.042,3
2,2.1,00:00:05.208,00:00:08.208,5.208,8.208,3
2,2.2,00:00:08.208,00:00:11.208,8.208,11.208,3
2,2.3,00:00:11.208,00:00:14.208,11.208,14.208,3
3,3.1,00:00:16.708,00:00:19.708,16.708,19.708,3
3,3.2,00:00:19.708,00:00:22.708,19.708,22.708,3
3,3.3,00:00:22.708,00:00:25.708,22.708,25.708,3
3,3.4,00:00:25.708,00:00:28.708,25.708,28.708,3
3,3.5,00:00:28.708,00:00:31.708,28.708,31.708,3
3,3.6,00:00:31.708,00:00:34.708,31.708,34.708,3
3,3.7,00:00:34.708,00:00:37.708,34.708,37.708,3
3,3.8,00:00:37.708,00:00:40.708,37.708,40.708,3
3,3.9,00:00:40.708,00:00:43.708,40.708,43.708,3
3,3.10,00:00:43.708,00:00:46.708,43.708,46.708,3
3,3.11,00:00:46.708,00:00:49.708,46.708,49.708,3
3,3.12,00:00:49.708,00:00:52.708,49.708,52.708,3
3,3.13,00:00:52.708,00:00:55.708,52.708,55.708,3
3,3.14,00:00:55.708,00:00:58.708,55.708,58.708,3
3,3.15,00:00:58.708,00:01:01.708,58.708,61.708,3
3,3.16,00:01:01.708,00:01:04.708,61.708,64.708,3
4,4.1,00:01:07.542,00:01:10.542,67.542,70.542,3
5,5.1,00:01:11.708,00:01:14.708,71.708,74.708,3
6,6.1,00:01:15.708,00:01:18.708,75.708,78.708,3
6,6.2,00:01:18.708,00:01:21.708,78.708,81.708,3
6,6.3,00:01:21.708,00:01:24.708,81.708,84.708,3
6,6.4,00:01:24.708,00:01:27.708,84.708,87.708,3
6,6.5,00:01:27.708,00:01:30.708,87.708,90.708,3
6,6.6,00:01:30.708,00:01:33.708,90.708,93.708,3
6,6.7,00:01:33.708,00:01:36.708,93.708,96.708,3
6,6.8,00:01:36.708,00:01:39.708,96.708,99.708,3
6,6.9,00:01:39.708,00:01:42.708,99.708,102.708,3
6,6.10,00:01:42.708,00:01:45.708,102.708,105.708,3
6,6.11,00:01:45.708,00:01:48.708,105.708,108.708,3
7,7.1,00:01:49.542,00:01:52.542,109.542,112.542,3
8,8.1,00:01:52.542,00:01:55.542,112.542,115.542,3
8,8.2,00:01:55.542,00:01:58.542,115.542,118.542,3
8,8.3,00:01:58.542,00:02:01.542,118.542,121.542,3
9,9.1,00:02:03.042,00:02:06.042,123.042,126.042,3
9,9.2,00:02:06.042,00:02:09.042,126.042,129.042,3
9,9.3,00:02:09.042,00:02:12.042,129.042,132.042,3
