scene_id,clip_id,start_time_movie,end_time_movie,start_sec,end_sec,duration_sec
1,1.1,00:00:00.042,00:00:03.042,0.042,3.042,3
1,1.2,00:00:03.042,00:00:06.042,3.042,6.042,3
2,2.1,00:00:06.042,00:00:09.042,6.042,9.042,3
2,2.2,00:00:09.042,00:00:12.042,9.042,12.042,3
2,2.3,00:00:12.042,00:00:15.042,12.042,15.042,3
3,3.1,00:00:15.042,00:00:18.042,15.042,18.042,3
3,3.2,00:00:18.042,00:00:21.042,18.042,21.042,3
3,3.3,00:00:21.042,00:00:24.042,21.042,24.042,3
3,3.4,00:00:24.042,00:00:27.042,24.042,27.042,3
5,5.1,00:00:28.042,00:00:31.042,28.042,31.042,3
5,5.2,00:00:31.042,00:00:34.042,31.042,34.042,3
7,7.1,00:00:36.708,00:00:39.708,36.708,39.708,3
7,7.2,00:00:39.708,00:00:42.708,39.708,42.708,3
7,7.3,00:00:42.708,00:00:45.708,42.708,45.708,3
7,7.4,00:00:45.708,00:00:48.708,45.708,48.708,3
7,7.5,00:00:48.708,00:00:51.708,48.708,51.708,3
8,8.1,00:00:51.708,00:00:54.708,51.708,54.708,3
11,11.1,00:01:02.375,00:01:05.375,62.375,65.375,3
11,11.2,00:01:05.375,00:01:08.375,65.375,68.375,3
11,11.3,00:01:08.375,00:01:11.375,68.375,71.375,3
11,11.4,00:01:11.375,00:01:14.375,71.375,74.375,3
11,11.5,00:01:14.375,00:01:17.375,74.375,77.375,3
11,11.6,00:01:17.375,00:01:20.375,77.375,80.375,3
11,11.7,00:01:20.375,00:01:23.375,80.375,83.375,3
11,11.8,00:01:23.375,00:01:26.375,83.375,86.375,3
11,11.9,00:01:26.375,00:01:29.375,86.375,89.375,3
11,11.10,00:01:29.375,00:01:32.375,89.375,92.375,3
11,11.11,00:01:32.375,00:01:35.375,92.375,95.375,3
12,12.1,00:01:37.375,00:01:40.375,97.375,100.375,3
12,12.2,00:01:40.375,00:01:43.375,100.375,103.375,3
12,12.3,00:01:43.375,00:01:46.375,103.375,106.375,3
13,13.1,00:01:48.375,00:01:51.375,108.375,111.375,3
17,17.1,00:01:58.542,00:02:01.542,118.542,121.542,3
17,17.2,00:02:01.542,00:02:04.542,121.542,124.542,3
17,17.3,00:02:04.542,00:02:07.542,124.542,127.542,3
18,18.1,00:02:09.542,00:02:12.542,129.542,132.542,3
20,20.1,00:02:15.542,00:02:18.542,135.542,138.542,3
22,22.1,00:02:21.208,00:02:24.208,141.208,144.208,3
26,26.1,00:02:29.875,00:02:32.875,149.875,152.875,3
27,27.1,00:02:33.875,00:02:36.875,153.875,156.875,3
32,32.1,00:02:45.708,00:02:48.708,165.708,168.708,3
33,33.1,00:02:51.208,00:02:54.208,171.208,174.208,3
33,33.2,00:02:54.208,00:02:57.208,174.208,177.208,3
33,33.3,00:02:57.208,00:03:00.208,177.208,180.208,3
36,36.1,00:03:05.042,00:03:08.042,185.042,188.042,3
36,36.2,00:03:08.042,00:03:11.042,188.042,191.042,3
37,37.1,00:03:11.208,00:03:14.208,191.208,194.208,3
37,37.2,00:03:14.208,00:03:17.208,194.208,197.208,3
37,37.3,00:03:17.208,00:03:20.208,197.208,200.208,3
37,37.4,00:03:20.208,00:03:23.208,200.208,203.208,3
37,37.5,00:03:23.208,00:03:26.208,203.208,206.208,3
37,37.6,00:03:26.208,00:03:29.208,206.208,209.208,3
37,37.7,00:03:29.208,00:03:32.208,209.208,212.208,3
40,40.1,00:03:36.708,00:03:39.708,216.708,219.708,3
47,47.1,00:03:52.875,00:03:55.875,232.875,235.875,3
47,47.2,00:03:55.875,00:03:58.875,235.875,238.875,3
48,48.1,00:03:59.208,00:04:02.208,239.208,242.208,3
49,49.1,00:04:04.042,00:04:07.042,244.042,247.042,3
49,49.2,00:04:07.042,00:04:10.042,247.042,250.042,3
50,50.1,00:04:10.208,00:04:13.208,250.208,253.208,3
50,50.2,00:04:13.208,00:04:16.208,253.208,256.208,3
