scene_id,clip_id,start_time_movie,end_time_movie,start_sec,end_sec,duration_sec
1,1.1,00:00:00.042,00:00:03.042,0.042,3.042,3
2,2.1,00:00:05.042,00:00:08.042,5.042,8.042,3
2,2.2,00:00:08.042,00:00:11.042,8.042,11.042,3
3,3.1,00:00:11.708,00:00:14.708,11.708,14.708,3
3,3.2,00:00:14.708,00:00:17.708,14.708,17.708,3
3,3.3,00:00:17.708,00:00:20.708,17.708,20.708,3
3,3.4,00:00:20.708,00:00:23.708,20.708,23.708,3
3,3.5,00:00:23.708,00:00:26.708,23.708,26.708,3
3,3.6,00:00:26.708,00:00:29.708,26.708,29.708,3
3,3.7,00:00:29.708,00:00:32.708,29.708,32.708,3
3,3.8,00:00:32.708,00:00:35.708,32.708,35.708,3
3,3.9,00:00:35.708,00:00:38.708,35.708,38.708,3
3,3.10,00:00:38.708,00:00:41.708,38.708,41.708,3
4,4.1,00:00:42.875,00:00:45.875,42.875,45.875,3
4,4.2,00:00:45.875,00:00:48.875,45.875,48.875,3
4,4.3,00:00:48.875,00:00:51.875,48.875,51.875,3
4,4.4,00:00:51.875,00:00:54.875,51.875,54.875,3
4,4.5,00:00:54.875,00:00:57.875,54.875,57.875,3
4,4.6,00:00:57.875,00:01:00.875,57.875,60.875,3
4,4.7,00:01:00.875,00:01:03.875,60.875,63.875,3
4,4.8,00:01:03.875,00:01:06.875,63.875,66.875,3
4,4.9,00:01:06.875,00:01:09.875,66.875,69.875,3
4,4.10,00:01:09.875,00:01:12.875,69.875,72.875,3
4,4.11,00:01:12.875,00:01:15.875,72.875,75.875,3
4,4.12,00:01:15.875,00:01:18.875,75.875,78.875,3
4,4.13,00:01:18.875,00:01:21.875,78.875,81.875,3
4,4.14,00:01:21.875,00:01:24.875,81.875,84.875,3
4,4.15,00:01:24.875,00:01:27.875,84.875,87.875,3
4,4.16,00:01:27.875,00:01:30.875,87.875,90.875,3
4,4.17,00:01:30.875,00:01:33.875,90.875,93.875,3
4,4.18,00:01:33.875,00:01:36.875,93.875,96.875,3
4,4.19,00:01:36.875,00:01:39.875,96.875,99.875,3
4,4.20,00:01:39.875,00:01:42.875,99.875,102.875,3
4,4.21,00:01:42.875,00:01:45.875,102.875,105.875,3
4,4.22,00:01:45.875,00:01:48.875,105.875,108.875,3
4,4.23,00:01:48.875,00:01:51.875,108.875,111.875,3
4,4.24,00:01:51.875,00:01:54.875,111.875,114.875,3
4,4.25,00:01:54.875,00:01:57.875,114.875,117.875,3
4,4.26,00:01:57.875,00:02:00.875,117.875,120.875,3
4,4.27,00:02:00.875,00:02:03.875,120.875,123.875,3
9,9.1,00:02:11.042,00:02:14.042,131.042,134.042,3
11,11.1,00:02:15.708,00:02:18.708,135.708,138.708,3
12,12.1,00:02:19.042,00:02:22.042,139.042,142.042,3
14,14.1,00:02:24.375,00:02:27.375,144.375,147.375,3
39,39.1,00:03:02.542,00:03:05.542,182.542,185.542,3
41,41.1,00:03:09.042,00:03:12.042,189.042,192.042,3
43,43.1,00:03:13.708,00:03:16.708,193.708,196.708,3
45,45.1,00:03:17.875,00:03:20.875,197.875,200.875,3
51,51.1,00:03:32.875,00:03:35.875,212.875,215.875,3
51,51.2,00:03:35.875,00:03:38.875,215.875,218.875,3
51,51.3,00:03:38.875,00:03:41.875,218.875,221.875,3
57,57.1,00:03:49.375,00:03:52.375,229.375,232.375,3
57,57.2,00:03:52.375,00:03:55.375,232.375,235.375,3
57,57.3,00:03:55.375,00:03:58.375,235.375,238.375,3
59,59.1,00:04:00.542,00:04:03.542,240.542,243.542,3
59,59.2,00:04:03.542,00:04:06.542,243.542,246.542,3
59,59.3,00:04:06.542,00:04:09.542,246.542,249.542,3
72,72.1,00:04:26.375,00:04:29.375,266.375,269.375,3
72,72.2,00:04:29.375,00:04:32.375,269.375,272.375,3
72,72.3,00:04:32.375,00:04:35.375,272.375,275.375,3
73,73.1,00:04:37.208,00:04:40.208,277.208,280.208,3
74,74.1,00:04:40.542,00:04:43.542,280.542,283.542,3
76,76.1,00:04:48.708,00:04:51.708,288.708,291.708,3
78,78.1,00:04:54.708,00:04:57.708,294.708,297.708,3
79,79.1,00:04:57.875,00:05:00.875,297.875,300.875,3
